Text,Sentiment,cleaned_text
"aapl daily , broke downtrend(from closing prices) now w v pattern back in play.......600 target  ",1,aapl daily broke downtrendfrom closing prices now w v pattern back in play.......600 target
PHM PulteGroup Option Bear bets 1.5 Million on 11% down move by April  ,-1,phm pultegroup option bear bets 1.5 million on 11% down move by april
BAC In a 11.97 for a trade,1,bac in a 11.97 for a trade
Short Setups displaying relative weakness: AO COH PAY BWD DT SHD WTW P Prepare to short the stall. ES_F  ,-1,short setups displaying relative weakness ao coh pay bwd dt shd wtw p prepare to short the stall. es_f
"When AMZN monetize all electronics it makes with traffic to marketplace, AAP GOOG will wake up and say why didn't we buy EBAY",1,when amzn monetize all electronics it makes with traffic to marketplace aap goog will wake up and say why didnt we buy ebay
"CVI starting with a clean book, making first buy of the yr - entry 49.54 stop 47.43  ",1,cvi starting with a clean book making first buy of the yr entry 49.54 stop 47.43
SAM cheers to the temporary solution to our economic woes - entry 139.81 stop 131.92  ,1,sam cheers to the temporary solution to our economic woes entry 139.81 stop 131.92
SK to the GAVE!,-1,sk to the gave
ovti ttm ending Oct 2012 Negative 151 million operational cash flow.. 273% decline vs yoy ttm ending oct 2011,-1,ovti ttm ending oct 2012 negative 151 million operational cash flow.. 273% decline vs yoy ttm ending oct 2011
AAP and GOOG should respond positively to good jobless claims numbers,1,aap and goog should respond positively to good jobless claims numbers
Analyst price targets and earnings targets coming down---EXACTY what you want to see prior AAP reporting.,1,analyst price targets and earnings targets coming downexacty what you want to see prior aap reporting.
user Nice! Color me an INTC bull as well!,1,user nice color me an intc bull as well
"Heads p: AA Earnings (1/8/13) ess Than a Week Away, Tho The Season Doesn't EAY Begin Cranking 'Til 1/16 w/ GS JPM EBAY et al...",1,heads p aa earnings 1813 ess than a week away tho the season doesnt eay begin cranking til 116 w gs jpm ebay et al...
"trade idea buy WO  market 26.64, target 36, cut below 23.50  ",1,trade idea buy wo market 26.64 target 36 cut below 23.50
"Trade idea buy DC  market 58.50, target 67 , cut below 53  ",1,trade idea buy dc market 58.50 target 67 cut below 53
GOOG looks all set to make new ATH. Now before or after E is the unknown.,1,goog looks all set to make new ath. now before or after e is the unknown.
GOOG trade this one long verse 10sma  ,1,goog trade this one long verse 10sma
"FNF - ong  19.43. Trailing Stop  21.04 from 6 prior Stops of 19.71, 19.52, 18.70, 18.65, 18.07 and 17.87 -  ",1,fnf ong 19.43. trailing stop 21.04 from 6 prior stops of 19.71 19.52 18.70 18.65 18.07 and 17.87
"FOD should see a solid move up tom, system predict nice green candle.",1,fod should see a solid move up tom system predict nice green candle.
This is the year of fitness and health apps...the winners will be gynormous and the speculation will run high  nke,1,this is the year of fitness and health apps...the winners will be gynormous and the speculation will run high nke
It's time to invest in MSFT COMPQ   ,1,its time to invest in msft compq
"New Post: Shorts Will Make Dimes, ongs Will Make Dollars  AAP SPX QQQ P",1,new post shorts will make dimes ongs will make dollars aap spx qqq p
nbelieveable payment trend that VC's are chasing has easily played out in public markets.... EBAY V and Mastercard MA all time highs,1,nbelieveable payment trend that vcs are chasing has easily played out in public markets.... ebay v and mastercard ma all time highs
Some of the watch list stocks that triggered today OEX AGNX TV VBD XIDE PPC EXP  ONTY  BMN FS WK CHMT FBC  ISI AIG,1,some of the watch list stocks that triggered today oex agnx tv vbd xide ppc exp onty bmn fs wk chmt fbc isi aig
Nice Bull flag breakout here OC #technology #software  ,1,nice bull flag breakout here oc technology software
My setup alerts went bonkers today..One of many that got triggered.Cup+Handle breakout in PFE   ,1,my setup alerts went bonkers today..one of many that got triggered.cuphandle breakout in pfe
The host with the most....congrats to the cloud today AX and user more all-time highs.  wow,1,the host with the most....congrats to the cloud today ax and user more alltime highs. wow
X Did .S. Steel Just Breakout?  MT too,1,x did .s. steel just breakout mt too
DNDN has broken through the clear 5.5 resistanc level on heavy volume & could be headed much higher  ,1,dndn has broken through the clear 5.5 resistanc level on heavy volume could be headed much higher
EXPE looks good for higher prices  ,1,expe looks good for higher prices
apc weekly setting up long.  ,1,apc weekly setting up long.
I am going into this morning long 3 each AAP 560 call options & GOOG 725 calls Jan 4th expiration,1,i am going into this morning long 3 each aap 560 call options goog 725 calls jan 4th expiration
ES_F path higher unthreatened unless 1452.25 support fails. See resistance at 1466.00 SPX #stocks.  ,1,es_f path higher unthreatened unless 1452.25 support fails. see resistance at 1466.00 spx stocks.
Monitor the S line/price dynamic. Stocks that closed Dec.28 with the S line in new highs be4 price. MHO TSM IPGP EQIX BC BDC ASH,1,monitor the s lineprice dynamic. stocks that closed dec.28 with the s line in new highs be4 price. mho tsm ipgp eqix bc bdc ash
DDD IDCC continue higher,1,ddd idcc continue higher
"Had hoped to pick up some OST today, but looks like I'm a day too late. Nice move up this morning.",1,had hoped to pick up some ost today but looks like im a day too late. nice move up this morning.
GPS wow that wa s a fast fast fade...,-1,gps wow that wa s a fast fast fade...
AMZN going above 260. Should go near 300 if market behaves for a few weeks.,1,amzn going above 260. should go near 300 if market behaves for a few weeks.
Huston we have a GEEN AAP,1,huston we have a geen aap
P long 9.55,1,p long 9.55
HN breakout...but 3rd day up so look for pullback to enter long.  ,1,hn breakout...but 3rd day up so look for pullback to enter long.
NG - ascend triangle much like FS & X breakouts 127 exten then 161.8 targets - fibs subjective  ,1,ng ascend triangle much like fs x breakouts 127 exten then 161.8 targets fibs subjective
KCG ... things that make you go hmmmm?  ,1,kcg ... things that make you go hmmmm
VNG - Huge  news from patent attorney Dan avicher  ,1,vng huge news from patent attorney dan avicher
NG nhod - check the weekly - target previous lows 2006 :),1,ng nhod check the weekly target previous lows 2006
NG nhod - what do you see? check the weekly - target previous lows 2006 :)   ,1,ng nhod what do you see check the weekly target previous lows 2006
AIG American International Group Option Traders bet on 4% down move by next Friday  ,-1,aig american international group option traders bet on 4% down move by next friday
P out balance +.32,1,p out balance .32
VNG buys vs. Sells?,1,vng buys vs. sells
BAC In  12.00 since there is consolidation  this level. We could close = > 12.09 if market is stable in pm IMHO.,1,bac in 12.00 since there is consolidation this level. we could close 12.09 if market is stable in pm imho.
VNG Parabolic moves are a comin',1,vng parabolic moves are a comin
New Sony pre-owned block tech patent unearthed SNE ... 50% of GME profits from pre owned ..last one out turn off the lights,-1,new sony preowned block tech patent unearthed sne ... 50% of gme profits from pre owned ..last one out turn off the lights
"we liked VS, we love WYNN from 111 entry to new up target yesterday at 121. very nice !   ",1,we liked vs we love wynn from 111 entry to new up target yesterday at 121. very nice
user: SPX 1464.90 Wave iv would be 20 points lower [1467.00 KEY] ES_F HOD 1460.00 (under neckline 1458.50 very bearish) ,-1,user spx 1464.90 wave iv would be 20 points lower 1467.00 key es_f hod 1460.00 under neckline 1458.50 very bearish
"DDD consolidating the strong move from previous days between 55 and 60, next buy point above 60 on volume (holding).",1,ddd consolidating the strong move from previous days between 55 and 60 next buy point above 60 on volume holding.
VNG - 12 mil shares shorts plus long buying = massive VNG short squeeze. Just when you thought story was dead avicher kills short thesis,1,vng 12 mil shares shorts plus long buying massive vng short squeeze. just when you thought story was dead avicher kills short thesis
"Wow, not good for BKS T user ... sales for the Nook were down 13% over the holidays  ",-1,wow not good for bks t user ... sales for the nook were down 13% over the holidays
AC from watch list - volume did pick up and is now 139% of full day average -from 200-day bounce   ,1,ac from watch list volume did pick up and is now 139% of full day average from 200day bounce
"The new wightwatchers ads are more fun and light and with regular people more interesting, but I still dont trust them WTW (no position)",-1,the new wightwatchers ads are more fun and light and with regular people more interesting but i still dont trust them wtw no position
AMZN holding up well - next buy point when clears this upper trend line on heavy volume  ,1,amzn holding up well next buy point when clears this upper trend line on heavy volume
MA exactly what you want to see a follow thru day after breaking out to new highs on volume  ,1,ma exactly what you want to see a follow thru day after breaking out to new highs on volume
ZCS user There's your buying,1,zcs user theres your buying
AAP SPY no more QE for 2013. Now bring the Geithner.,-1,aap spy no more qe for 2013. now bring the geithner.
Over extended stock market + unexpected news from the FED minutes = Down ESD & a panicky ES_F NQ_F.,-1,over extended stock market unexpected news from the fed minutes down esd a panicky es_f nq_f.
"SPY ncle Ben needed to spice up things a little. AAP people were bored, wake up now.",-1,spy ncle ben needed to spice up things a little. aap people were bored wake up now.
AAP might close at the lows of the day. Bears will be in control again below the descending trendline. Watch it.,-1,aap might close at the lows of the day. bears will be in control again below the descending trendline. watch it.
FAN - seeking 200d. Im adding some synthetic shorts here and will add again at 200d.,-1,fan seeking 200d. im adding some synthetic shorts here and will add again at 200d.
"CWST low of day 4.50, near high of day 4.56, watchn for b/out, minimal risk",1,cwst low of day 4.50 near high of day 4.56 watchn for bout minimal risk
All of the above: gme Gamestop short targets  spy,-1,all of the above gme gamestop short targets spy
time to get out of the #cloud stocks VMW CM,-1,time to get out of the cloud stocks vmw cm
BAC Keep Overniight mmy pos. will bin premarket Tmorrow too.,1,bac keep overniight mmy pos. will bin premarket tmorrow too.
Polk Expects 2013 .S. New Vehicle egistrations to each 15.3 Million - Polk -  F GM I think this is low,1,polk expects 2013 .s. new vehicle egistrations to each 15.3 million polk f gm i think this is low
Very bullish on market  also talked trends for SCTY OST ANGI FIO  PANW A JCP P YEP MNST GPN on show.,1,very bullish on market also talked trends for scty ost angi fio panw a jcp p yep mnst gpn on show.
BAC what happens next?  ,-1,bac what happens next
KCG someone bought 3.22k 4 Jan 18 Calls....,1,kcg someone bought 3.22k 4 jan 18 calls....
Man I didnt know about Skippy when I made this...would have thrown in a jar H #Hormel  ,1,man i didnt know about skippy when i made this...would have thrown in a jar h hormel
"Big move in bonds today, 7 months high for 10 y rate, still going lower here ZN_F, could get truly ugly if good NFP number in AM SPY TT",1,big move in bonds today 7 months high for 10 y rate still going lower here zn_f could get truly ugly if good nfp number in am spy tt
Market Wrap Video + Additions to Watch ist  including: BCEI BJI CEE ES SONS SQNM NX YEP,1,market wrap video additions to watch ist including bcei bji cee es sons sqnm nx yep
Maybe when vrng asked the judge for a 7% royalty it became too risky for goog to deal with?  they want to settle,1,maybe when vrng asked the judge for a 7% royalty it became too risky for goog to deal with they want to settle
BJI Over 35.53 if good volume  ,1,bji over 35.53 if good volume
CEE Over 35.12  ,1,cee over 35.12
SQNM  Over 5.05  ,1,sqnm over 5.05
NX On flag break  ,1,nx on flag break
3D Systems Brings Next-Gen Consumer 3D Printing to CES 2013  DDD,1,3d systems brings nextgen consumer 3d printing to ces 2013 ddd
AAP will top out in April when Aston Kutcher stars in 'jOBS'.  Kinda like how Facebook did when 'Social Network' came out. FB,-1,aap will top out in april when aston kutcher stars in jobs. kinda like how facebook did when social network came out. fb
"VNG w/ MACD turning up & above its signal line, VNG could post a nice rally from current levels  ",1,vng w macd turning up above its signal line vng could post a nice rally from current levels
PI 3Q 10Q operational cash flow for 9mos -20million. 269%decline vs. 9mos year ago.,-1,pi 3q 10q operational cash flow for 9mos 20million. 269%decline vs. 9mos year ago.
bbby 3Q 10Q Operational Cash Flow 135 million. 53 increase vs. year ago Q3. 64% improvement q o q,1,bbby 3q 10q operational cash flow 135 million. 53 increase vs. year ago q3. 64% improvement q o q
DI 6mos operational cash flow 267 million. increases 187 million vs.6mos year ago. 233% increase,1,di 6mos operational cash flow 267 million. increases 187 million vs.6mos year ago. 233% increase
AM 3Q 10Q 9mos operational cash flow 32 million vs. neg 26 mil 9mos year ago.,1,am 3q 10q 9mos operational cash flow 32 million vs. neg 26 mil 9mos year ago.
am 3Q operational cash flow neg 16 million.  vs. year ago 3Q of negative 68million.  52 million improvement,1,am 3q operational cash flow neg 16 million. vs. year ago 3q of negative 68million. 52 million improvement
"A quiet Carl Icahn = Bullish.  NFX shorts should be paranoid on every close as they will get acquired.  Think aapl, msft, amzn, fb",1,a quiet carl icahn bullish. nfx shorts should be paranoid on every close as they will get acquired. think aapl msft amzn fb
I am an aapl bull but cannot break this trend line in OBV   ,-1,i am an aapl bull but cannot break this trend line in obv
user Phantom7 I've been calling +4 ever since the start of this thing. 3.75 should be a given~ KCG,1,user phantom7 ive been calling 4 ever since the start of this thing. 3.75 should be a given kcg
NX on watch list above small flag on volume of 26% of ave full day so good volume  ,1,nx on watch list above small flag on volume of 26% of ave full day so good volume
GOOG poised to clear this next resistance (buy / add area) watch action / volume closely here   ,1,goog poised to clear this next resistance buy add area watch action volume closely here
GDP on watch list slightly over line and 50-day EMA light volume of 5% ave full day   ,1,gdp on watch list slightly over line and 50day ema light volume of 5% ave full day
"Took some profits off DDD, will add if breaks 60 on volume.",1,took some profits off ddd will add if breaks 60 on volume.
CHK - what I'm looking at - small risk position calls only. Scalp - maybe a swing XE watch.   ,1,chk what im looking at small risk position calls only. scalp maybe a swing xe watch.
"ONTY If the holders would just hold out or raise their ask here, this could really pop. Going to climb slowly regardless...",1,onty if the holders would just hold out or raise their ask here this could really pop. going to climb slowly regardless...
EOG PXD OAS #energyswag,1,eog pxd oas energyswag
AAP moving down with volume. Couldnt cope with the descending trend line. Trend is still down. Perhaps 460 is not impossible after all.,-1,aap moving down with volume. couldnt cope with the descending trend line. trend is still down. perhaps 460 is not impossible after all.
AAP 50EMA continue to work as AAP is making lower highs in the MACO sense   ,-1,aap 50ema continue to work as aap is making lower highs in the maco sense
"Went short SPY yesterday, should have picked AAP instead. Still think market needs to move down a bit then resume move to the upside.",-1,went short spy yesterday should have picked aap instead. still think market needs to move down a bit then resume move to the upside.
AAP people be realistic. Market undecided what to do with apple. Earnings will lift that cloud. If GOOD we might EAY see a reversal.,-1,aap people be realistic. market undecided what to do with apple. earnings will lift that cloud. if good we might eay see a reversal.
Will watch the close carefully then decide whether to ONG or SHOT AAP. Below 530 SHOT!!!,-1,will watch the close carefully then decide whether to ong or shot aap. below 530 shot
"JCP Keep an eye on this triangle. big short int, 34%. reports Feb 27. cup & handle. at DT. ong  ",1,jcp keep an eye on this triangle. big short int 34%. reports feb 27. cup handle. at dt. ong
sold a little goog ...first time in a while,1,sold a little goog ...first time in a while
Nice cup with handle breakout on MCA,1,nice cup with handle breakout on mca
FAF new highs.,1,faf new highs.
SPY giving AAP the finger. We don't care about you anymore lol,-1,spy giving aap the finger. we dont care about you anymore lol
The Smith&Corona doing ok. AMZN,1,the smithcorona doing ok. amzn
"VA - ong  43.07. Trailing Stop  58.98 from 11 Stops of 54.53, 52.45, 48.05, 47.32, 46.71, ... 41.32 & 39.57 -  ",1,va ong 43.07. trailing stop 58.98 from 11 stops of 54.53 52.45 48.05 47.32 46.71 ... 41.32 39.57
AMZN alert update: a last minute push tried to shake out puts. we're hanging on for now.  ,-1,amzn alert update a last minute push tried to shake out puts. were hanging on for now.
AAP volume higher today than monday. Keep that in mind.,1,aap volume higher today than monday. keep that in mind.
"HB.A - ong  73.67. Trailing Stop  71.92 from 3 prior Stops of 70.86, 68.64 and 62.41 -  ",1,hb.a ong 73.67. trailing stop 71.92 from 3 prior stops of 70.86 68.64 and 62.41
"The key is not to panic here.  AAP is in the domain of twitchy day traders on robots now, but long term should hold up on fundamentals",1,the key is not to panic here. aap is in the domain of twitchy day traders on robots now but long term should hold up on fundamentals
NVDA 4 hour - love to see the vol explode.   ,1,nvda 4 hour love to see the vol explode.
VNG - Take a hard look at GOOG FTC settlement over patents.  FTC making GOOG play nice with VNG?  Makes Sense  ,1,vng take a hard look at goog ftc settlement over patents. ftc making goog play nice with vng makes sense
some worried I had gone OCO with my 737.71 up call for GOOG ! now at door step of nearly 40 move  ,1,some worried i had gone oco with my 737.71 up call for goog now at door step of nearly 40 move
VNG its crazy that anyone listens and trades off this tool.,1,vng its crazy that anyone listens and trades off this tool.
GOOG  is getting fueled by AAP's reversal.,1,goog is getting fueled by aaps reversal.
user why make a BBY offer now when he can shave 4 more off offer price? Bid went from 24-26 to just 20 in a matter of months.,-1,user why make a bby offer now when he can shave 4 more off offer price bid went from 2426 to just 20 in a matter of months.
NVDA - to answer your question entry (add) was the red candle at 10:50AM today. ove flags  ,1,nvda to answer your question entry add was the red candle at 1050am today. ove flags
"AAP 950 lot bid in the Feb 580 call at 9.50, might push the stock up or create support. 26 delta option",1,aap 950 lot bid in the feb 580 call at 9.50 might push the stock up or create support. 26 delta option
"WPI - was on our short candidate list 12/31 and we missed it, got started short today",-1,wpi was on our short candidate list 1231 and we missed it got started short today
MYE breaking out,1,mye breaking out
Short HT under the 200 SMA stop just over the high of the day. First target 53.95. Second target 53.21 gap fill.,-1,short ht under the 200 sma stop just over the high of the day. first target 53.95. second target 53.21 gap fill.
QCOM introduces StreamBoost:  average home connects up to seven devices to the Internet,1,qcom introduces streamboost average home connects up to seven devices to the internet
NVDA love to see momo this next week like previous histogram bars noted.   ,-1,nvda love to see momo this next week like previous histogram bars noted.
HMA unusual option activity. Trader buys 11k of the Jan 9 Put. Short term bear play,-1,hma unusual option activity. trader buys 11k of the jan 9 put. short term bear play
"ADBE option trader buys 5,300 of the Feb 39C against OI of 741. Bet is on stock above 39 by Feb 16th",1,adbe option trader buys 5300 of the feb 39c against oi of 741. bet is on stock above 39 by feb 16th
"NVDA ooks bullish but it must stay above 13.05 on a closing basis (monthly), EPS say no?  ",-1,nvda ooks bullish but it must stay above 13.05 on a closing basis monthly eps say no
SQNM from watch list over line on volume of 86% of ave full day  ,1,sqnm from watch list over line on volume of 86% of ave full day
HOTT Failed breakout?  ,-1,hott failed breakout
ZN_F ticking up.. I'd be a seller of SDJPY here (*if I weren't already)...,-1,zn_f ticking up.. id be a seller of sdjpy here if i werent already...
"INO Wow, nice accumulation today, heavy...",1,ino wow nice accumulation today heavy...
ZNGA Fat juicy Short back to lower levels as it closes Gap  2.72?  ,-1,znga fat juicy short back to lower levels as it closes gap 2.72
GDOT nice bounce from its 50SMA. ooks ready to test the recent highs  ,1,gdot nice bounce from its 50sma. ooks ready to test the recent highs
HMA ooking for 10's; headed higher!  ,1,hma ooking for 10s headed higher
"SPF ooking for 9's, headed higher with lower rates.  ",1,spf ooking for 9s headed higher with lower rates.
"GS JPM XF HOD, they are hungry for stocks out there... SPY",1,gs jpm xf hod they are hungry for stocks out there... spy
CHK weekly bullish engulfing   ,1,chk weekly bullish engulfing
GS looks good heading into next week.,1,gs looks good heading into next week.
AAP all i know is ipad minis are out of stock everywhere. been going to 8 different stores and none of them have em in stock,1,aap all i know is ipad minis are out of stock everywhere. been going to 8 different stores and none of them have em in stock
As goog explodes and aapl implodes MINTE 21 to 23 of user vid from a few years ago have Mark nailing the subject  ,1,as goog explodes and aapl implodes minte 21 to 23 of user vid from a few years ago have mark nailing the subject
"KKD Krispy Kreme Doughnuts, Inc. at IC XChange Conference (ive) 01/17/13 at 9:15 a.m. ET",1,kkd krispy kreme doughnuts inc. at ic xchange conference ive 011713 at 915 a.m. et
Picked up FS on pullback due to downgrade. Held support to close week. First PT 37.30  ,1,picked up fs on pullback due to downgrade. held support to close week. first pt 37.30
"user: I've been picking this one for a while, but I'm calling KKD as the next food company to make a DPZ like run in TWENTY13.",1,user ive been picking this one for a while but im calling kkd as the next food company to make a dpz like run in twenty13.
"ZNGA Still shows red and dead on a enko view, PF Box size 0.25  ",-1,znga still shows red and dead on a enko view pf box size 0.25
"GS enko view of GS, PF Box size = 5 showing potential to break to 175  ",1,gs enko view of gs pf box size 5 showing potential to break to 175
"NVDA enko view showing red and dead, need 14 or more for a long & less than 13 for a short  ",-1,nvda enko view showing red and dead need 14 or more for a long less than 13 for a short
"CSX enko view, PF Box size = 1,  VEY bullish above 21, coal stocks confirming move on rails.  ",1,csx enko view pf box size 1 vey bullish above 21 coal stocks confirming move on rails.
GOOG And on enko w/ a PF Box size of 50 it looks like a failed breakout  ,-1,goog and on enko w a pf box size of 50 it looks like a failed breakout
user At 155 for GS but very bullish on fins as rates are low = The FED Put!,1,user at 155 for gs but very bullish on fins as rates are low the fed put
user ZNGA I use lagging indicators on lagging stocks ;),-1,user znga i use lagging indicators on lagging stocks
"GOOG, I like it with a close above 744.96",1,goog i like it with a close above 744.96
FS b/o above bull flag on heavy vol. etest of support today on light vol. 41% short float  ,1,fs bo above bull flag on heavy vol. etest of support today on light vol. 41% short float
MSFT gap close. Continues base. SI rising. Nice : pickup w/ stop below major support & 28.22 PT.  ,1,msft gap close. continues base. si rising. nice pickup w stop below major support 28.22 pt.
Financials continue ripping. Easy money. C approaching 43 PT  ,1,financials continue ripping. easy money. c approaching 43 pt
VS follow throughs. 10 DMA crossing above 200 DMA. Trading above all MA's. Great setup  ,1,vs follow throughs. 10 dma crossing above 200 dma. trading above all mas. great setup
"user BAC Yeah ... they made the easy profits by slashing jobs, now they have to close win-win sales.",-1,user bac yeah ... they made the easy profits by slashing jobs now they have to close winwin sales.
New buys today from watch list all did well  NX 20% SONS YEP  BCEI  GDP  AY and SQNM Total triggers this week 39 - a big week,1,new buys today from watch list all did well nx 20% sons yep bcei gdp ay and sqnm total triggers this week 39 a big week
"SBX  #SI #EarthThis is the kind of stuff that makes us perk up (so sorry!).but, go on...bullish five waves to 58.    ",1,sbx si earththis is the kind of stuff that makes us perk up so sorry.but go on...bullish five waves to 58.
"Can you say no brainier? ong SBAC stock, 60/80 Feb collar for protection...  ",1,can you say no brainier ong sbac stock 6080 feb collar for protection...
Anyone can say how much svu would go even if the deal goes through? 4? 5? Not sure if much upside left.,1,anyone can say how much svu would go even if the deal goes through 4 5 not sure if much upside left.
NVDA the bounce continues and the stock has now cleared its 200SMA and the 13 level. ong   ,1,nvda the bounce continues and the stock has now cleared its 200sma and the 13 level. ong
AXTI Momentum picking up w/ MACD climbing/SI rising.OBV indicator made a new higher high this week  ,1,axti momentum picking up w macd climbingsi rising.obv indicator made a new higher high this week
GDOT OBV is moving upwards which means that big money is moving into the stock slowly. ong  ,1,gdot obv is moving upwards which means that big money is moving into the stock slowly. ong
aapl daily (see notes)  ,1,aapl daily see notes
AMZN daily (see notes)  ,1,amzn daily see notes
C daily (see notes)   ,1,c daily see notes
